date,latitude,longitude,tavg
2016-02-05,40.544312532580776,-74.03207112850329,3.6
2016-02-06,40.6760744776876,-73.87120851394373,0.8
2015-02-05,40.74045040351958,-73.71172816053489,0.5
2016-11-28,40.54172406311266,-74.04428190074044,6.4
2015-06-21,40.54971553056811,-73.77134907940086,24.8
2015-04-30,40.53950769973442,-74.13539185351043,13.1
2015-05-19,40.74531010528108,-74.13876864342963,18.9
2016-10-08,40.757908189359384,-74.0079758675516,19.1
2015-05-29,40.577722457900215,-73.96007194234554,23.6
2016-02-07,40.87327930238257,-74.22423501915011,2.0
2015-06-27,40.62811803360188,-73.95478485763769,20.9
2015-12-16,40.48577238318072,-74.19340310236905,10.3
2016-06-07,40.54611146824481,-73.88724345971964,23.7
2015-04-27,40.754336430869465,-73.93104633311657,12.6
2016-07-14,40.82819509094083,-73.93351796669356,27.1
2015-02-17,40.537319730167276,-74.22459136021494,-7.3
2016-11-08,40.65868174527739,-73.74010842070551,11.1
2016-07-25,40.902694760075995,-73.79610288400931,27.7
2015-11-14,40.72126462474366,-74.10236268781784,8.8
2015-09-24,40.874320341434505,-74.02230113750838,20.4
2015-04-17,40.59467940999847,-74.19377734334303,15.2
2015-07-17,40.57624359343572,-74.03688281088948,22.6
2016-07-07,40.59251967841754,-73.90824242789455,26.2
2016-03-27,40.53887895464727,-74.0215418778682,7.6
2016-07-31,40.74432835752786,-74.03179172768564,24.9
2016-11-30,40.79548178113414,-73.77894881379852,13.2
2016-12-01,40.70076261516864,-73.89476738956446,11.3
2015-11-30,40.785601048833655,-73.70836947127951,5.2
2016-02-17,40.86067065677614,-73.83910338140822,2.9
2015-03-29,40.49779083391198,-73.8250495019636,1.2
2015-06-04,40.774290360351145,-73.91937861201029,15.2
2016-07-03,40.547874051106874,-73.71983577169965,23.9
2015-10-25,40.63652815115841,-74.23789704767495,15.3
2016-12-04,40.612709361846896,-73.85531941715338,6.4
2016-08-01,40.50919414398148,-74.07412986722376,23.3
2016-06-02,40.81327758704861,-73.89834256209635,20.4
2015-07-18,40.50465196178316,-73.92079740138122,24.4
2016-07-19,40.546606023164564,-73.79014846206836,26.4
2015-02-12,40.89863611440311,-73.74171922872095,-3.0
2015-03-02,40.86055593733878,-73.70333303309909,0.3
2015-02-10,40.79281824835395,-74.14573484759109,-1.0
2015-06-20,40.81412851203653,-73.92241689599133,20.2
2016-10-13,40.73632641221695,-74.03560029977606,15.3
2016-08-10,40.820700284195766,-73.99527180473099,27.8
2015-02-04,40.66734953652505,-74.22012106947136,-3.1
2016-11-03,40.549825113986934,-73.92134544950102,17.3
2015-09-04,40.653260291139134,-74.02547117520685,27.0
